,ID,Year,Mo,Da,Hr,Mi,Sec,X,Y,Z,MHEL,Detection,ERR1,ERR2,AZIM,ERRZ
185,0,2018,6,5,2,38,8.816,25491081,6675702,-6087,-1.1,1,999999,999999,999999,999999
186,684,2018,6,5,2,39,22.14,25490821.83,6675595.446,-5799,-0.4,0,63,27,118,37
187,0,2018,6,5,2,42,57.225,25491081,6675702,-6087,-1.06,1,999999,999999,999999,999999
188,0,2018,6,5,2,44,5.205,25491081,6675702,-6087,-0.73,1,999999,999999,999999,999999
189,0,2018,6,5,2,44,41.705,25491081,6675702,-6087,-1.22,1,999999,999999,999999,999999
190,0,2018,6,5,2,46,43.792,25491081,6675702,-6087,-0.92,1,999999,999999,999999,999999
191,0,2018,6,5,2,47,24.086,25491081,6675702,-6087,-1.24,1,999999,999999,999999,999999
192,685,2018,6,5,2,48,41.402,25491165.2,6675650.076,-5994,-0.46,0,46,24,99,45
193,0,2018,6,5,2,49,51.433,25491081,6675702,-6087,-0.96,1,999999,999999,999999,999999
194,0,2018,6,5,2,50,4.846,25491081,6675702,-6087,-0.71,1,999999,999999,999999,999999
195,0,2018,6,5,2,52,19.766,25491081,6675702,-6087,-0.81,1,999999,999999,999999,999999
196,0,2018,6,5,2,52,38.079,25491081,6675702,-6087,-0.83,1,999999,999999,999999,999999
197,0,2018,6,5,2,53,29.809,25491081,6675702,-6087,-0.82,1,999999,999999,999999,999999
198,0,2018,6,5,2,55,0.589,25491081,6675702,-6087,-0.98,1,999999,999999,999999,999999
199,0,2018,6,5,2,57,24.734,25491081,6675702,-6087,-0.44,1,999999,999999,999999,999999
200,0,2018,6,5,2,58,49.158,25491081,6675702,-6087,-0.45,1,999999,999999,999999,999999
201,0,2018,6,5,2,59,36.214,25491081,6675702,-6087,-0.9,1,999999,999999,999999,999999
202,0,2018,6,5,3,1,46.839,25491081,6675702,-6087,-0.99,1,999999,999999,999999,999999
203,0,2018,6,5,3,2,45.89,25491081,6675702,-6087,-1.03,1,999999,999999,999999,999999
204,0,2018,6,5,3,5,6.148,25491081,6675702,-6087,-1.18,1,999999,999999,999999,999999
205,0,2018,6,5,3,5,13.453,25491081,6675702,-6087,-0.67,1,999999,999999,999999,999999
206,691,2018,6,5,3,6,3.259,25490763.7,6675358.899,-5560,-0.35,0,35,24,135,34
207,0,2018,6,5,3,7,0.48,25491081,6675702,-6087,-1.12,1,999999,999999,999999,999999
208,0,2018,6,5,3,8,35.638,25491081,6675702,-6087,-0.83,1,999999,999999,999999,999999
209,0,2018,6,5,3,9,29.387,25491081,6675702,-6087,-1.19,1,999999,999999,999999,999999
210,694,2018,6,5,3,9,39.679,25490857.11,6675414.086,-5744,-0.32,0,37,14,100,26
211,0,2018,6,5,3,10,14.17,25491081,6675702,-6087,-0.73,1,999999,999999,999999,999999
212,0,2018,6,5,3,11,11.866,25491081,6675702,-6087,-0.93,1,999999,999999,999999,999999
213,0,2018,6,5,3,11,55.121,25491081,6675702,-6087,-1.03,1,999999,999999,999999,999999
214,0,2018,6,5,3,12,36.466,25491081,6675702,-6087,-1.23,1,999999,999999,999999,999999
215,0,2018,6,5,3,12,47.789,25491081,6675702,-6087,-1.21,1,999999,999999,999999,999999
216,0,2018,6,5,3,13,30.405,25491081,6675702,-6087,-1.21,1,999999,999999,999999,999999
